ID,State,City,Park Name,First,Last
ANN01,Alabama,Anniston,19400517,19410729
AXC01,Alabama,Alexander City,19480505,19490330
BIR01,Alabama,Birmingham,Rickwood Field,19270919,20240620
DCA01,Alabama,Decatur,Legion Field,19490818,19490921
DOT01,Alabama,Dothan,Wiregrass Stadium,19480624,19480624
GAD01,Alabama,Gadsden,19350422,19460624
HUN01,Alabama,Huntsville,Lincoln Park,19460807,19480515
LEE01,Alabama,Leeds,19380820,19380903
MOB01,Alabama,Mobile,19490403,19490403
MTG01,Alabama,Montgomery,Cramton Bowl,19390803,19490929
OZA01,Alabama,Ozark,19490401,19490401
SEL01,Alabama,Selma,Rowell Field,19390428,19390621
TUS01,Alabama,Tuscaloosa,Alberta Park,19480726,19490714,ELD01,Arkansas,El Dorado,19400502,19400502
FTS01,Arkansas,Fort Smith,19480514,19480514
HEL01,Arkansas,Helena,19490905,19490905
HSP01,Arkansas,Hot Springs,19490505,19490628
JON01,Arkansas,Jonesboro,19410514,19490712
LRK01,Arkansas,Little Rock,Crump Park,19380805,19390922
LRK02,Arkansas,Little Rock,Travelers Field,19380511,19490729
MRA01,Arkansas,Marianna,19380516,19380516
PBL01,Arkansas,Pine Bluff,19400712,19420702,PHO01,Arizona,Phoenix,Chase Field,19980331,20250925,ANA01,California,Anaheim,Angel Stadium of Anaheim,19660419,20250928
BAK01,California,Bakersfield,Sam Lynn Park,19461023,19461023
LGB01,California,Long Beach,Recreation Park,19431017,19431017
LOS01,California,Los Angeles,Los Angeles Memorial Coliseum,19580418,19610920
LOS02,California,Los Angeles,Wrigley Field,19301029,19611001
LOS03,California,Los Angeles,Dodger Stadium,19620410,20251029
LOS04,California,Los Angeles,Gilmore Field,19391008,19431107
LOS05,California,Los Angeles,White Sox Park,19251024,19441022
OAK01,California,Oakland,Oakland-Alameda County Coliseum,19680417,20240926
OAK02,California,Oakland,Oaks Park,19471016,19471016
SAC01,California,Sacramento,20250331,20250928
SAN01,California,San Diego,Qualcomm Stadium,19690408,20030928
SAN02,California,San Diego,Petco Park,20040408,20250928
SAN03,California,San Diego,Lane Field,19421122,19481025
SFO01,California,San Francisco,Seals Stadium,19441015,19590920
SFO02,California,San Francisco,Candlestick Park,19600412,19990930
SFO03,California,San Francisco,Oracle Park,20000411,20250928,DEN01,Colorado,Denver,Mile High Stadium,19930409,19940811
DEN02,Colorado,Denver,Coors Field,19950426,20250921
DEN03,Colorado,Denver,Merchants Park,19361004,19480824,BRI01,Connecticut,Bridgeport,Candlelite Stadium,19400723,19490602
HAR02,Connecticut,Hartford,Bulkeley Stadium,19360810,19420914
STA01,Connecticut,Stamford,Mitchell Field,19470503,19470701,WAS06,D.C,Washington,Boundary Field,18980418,18991014
WAS07,D.C,Washington,American League Park I,19010429,19030928
WAS08,D.C,Washington,American League Park II,19040414,19101006
WAS09,D.C,Washington,Griffith Stadium,19110412,19610921
WAS10,D.C,Washington,Robert F,Kennedy Stadium,19620409,20070923
WAS11,D.C,Washington,Nationals Park,20080330,20250928,WIL03,Delaware,Wilmington,Harlan Field,19211010,19261001
WIL04,Delaware,Wilmington,Wilmington Park,19370518,19490815
WIL08,Delaware,Wilmington,Pennsy Field,19360514,19390724,DTB01,Florida,Daytona Beach,Cypress Street Park,19380408,19380408
DUN01,Florida,Dunedin,TD Ballpark,20210408,20210524
JKV01,Florida,Jacksonville,Red Cap Stadium,19370329,19410702
LBV01,Florida,Lake Buena Vista,The Ballpark at Disney's Wide World,20070515,20080424
MIA01,Florida,Miami,Sun Life Stadium,19930405,20110928
MIA02,Florida,Miami,Marlins Park,20120404,20250928
ORL01,Florida,Orlando,19390405,19410409
PAL01,Florida,Palatka,19390408,19390408
STP01,Florida,St,Petersburg,Tropicana Field,19980331,20240922
TAM01,Florida,Tampa,Plant Field,19410614,19410614
TAM02,Florida,Tampa,George M,Steinbrenner Field,20250328,20250921,ALB03,Georgia,Albany,19370512,19370512
ATH01,Georgia,Athens,19360417,19360422
ATL01,Georgia,Atlanta,Atlanta-Fulton County Stadium,19660412,19961024
ATL02,Georgia,Atlanta,Turner Field,19970404,20161002
ATL03,Georgia,Atlanta,Truist Park,20170414,20250928
ATL04,Georgia,Atlanta,Ponce de Leon Park,19360413,19490509
ATL05,Georgia,Atlanta,Harper Field,19400331,19460421
ATL06,Georgia,Atlanta,Booker T,Washington High School Field,19380528,19380528
COL06,Georgia,Columbus,Golden Park,19490622,19490816
ELB01,Georgia,Elberton,19380509,19380613
GRI01,Georgia,Griffin,19390419,19390419
MAC01,Georgia,Macon,Luther Williams Park,19380829,19410417,HON01,Hawai'i,Honolulu,Aloha Stadium,19970419,19970420,BEL01,Illinois,Belleville,Belleville Athletic Field,19370720,19490617
CAI01,Illinois,Cairo,19390728,19490526
CAN04,Illinois,Canton,19430721,19430721
CEN01,Illinois,Centralia,Fans Field,19480521,19490621
CHI08,Illinois,Chicago,West Side Grounds,18980429,19151003
CHI09,Illinois,Chicago,South Side Park III,19010424,19400908
CHI10,Illinois,Chicago,Comiskey Park I,19100701,19900930
CHI11,Illinois,Chicago,Wrigley Field,19140423,20251009
CHI12,Illinois,Chicago,Guaranteed Rate Field;U.S,Cellular Field,19910418,20250921
CHI15,Illinois,Chicago,Mills Stadium,19341014,19350806
CHI16,Illinois,Chicago,Shrewbridge Field,19350505,19380711
DAN01,Illinois,Danville,Garfield Stadium,19410808,19490630
DCT01,Illinois,Decatur,Staley Field,19210716,19210716
DCT02,Illinois,Decatur,Fans Field,19370714,19490622
GLK01,Illinois,Great Lakes,Great Lakes Naval Training Station,19430807,19430807
KEW01,Illinois,Kewanee,Northeast Park,19430629,19430805
LSL01,Illinois,LaSalle,19440821,19440821
MAT01,Illinois,Mattoon,Indians Park,19490620,19490620
MET01,Illinois,Metropolis,19390728,19390728
MOU01,Illinois,Mounds,19380529,19390813
MTV01,Illinois,Mt,Vernon,Veterans Park,19490526,19490526
PEO01,Illinois,Peoria,19370721,19370721
PER01,Illinois,Peru,Washington Park,19410826,19430810
RCK02,Illinois,Rockford,Rox Park,19490906,19490906
SPA01,Illinois,Sparta,19400717,19400717
SPR02,Illinois,Springfield,Reservoir Park,19291017,19291017
SPR03,Illinois,Springfield,Lanphier Park,19390621,19480901
SPR07,Illinois,Springfield,Fitzpatrick Stadium,19490627,19490627
URB01,Illinois,Urbana,Illinois Field,19450915,19450915
WFI01,Illinois,West Frankfort,Memorial Stadium,19480616,19490628,EVA01,Indiana,Evansville,Bosse Field,19390714,19390714
FOR03,Indiana,Fort Wayne,Jailhouse Flats,19020622,19020831
FOR04,Indiana,Fort Wayne,State School Diamond,19400617,19430811
FOR05,Indiana,Fort Wayne,Dwenger Park,19440511,19440511
GAR01,Indiana,Gary,19390819,19390819
HAM01,Indiana,Hammond,Turner Field,19410625,19440901
IND07,Indiana,Indianapolis,Federal League Park,19140423,19141008
IND09,Indiana,Indianapolis,Northwestern Park,19150509,19150509
IND10,Indiana,Indianapolis,Victory Field,19360826,19490820
IND11,Indiana,Indianapolis,Washington Park,19210424,19210509
KOK01,Indiana,Kokomo,Athletic Park,19220726,19220726
KOK02,Indiana,Kokomo,Highland Park,19430729,19490824
MUN02,Indiana,Muncie,McCullough Park,19420716,19490822
RCI01,Indiana,Richmond,Municipal Stadium,19360911,19490907
SBD01,Indiana,South Bend,Lippincott Park,19360824,19460708
TER01,Indiana,Terre Haute,19410702,19440713,CBI01,Iowa,Council Bluffs,American Legion Park,19460723,19480707
CED01,Iowa,Cedar Rapid,Hill Park,19371007,19490607
DAV01,Iowa,Davenport,Municipal Stadium,19361001,19490608
DAV02,Iowa,Davenport,Milan Park,19470918,19470918
DES01,Iowa,Des Moines,League Park,19361002,19400610
DES02,Iowa,Des Moines,Pioneer Memorial Park,19470730,19490721
DYE01,Iowa,Dyersville,Field of Dreams,20210812,20220811
FDI01,Iowa,Fort Dodge,19480812,19480812
SCI01,Iowa,Sioux City,Soos Park,19470818,19490606
SCI02,Iowa,Sioux City,Yards Park,19390710,19390710,ATC01,Kansas,Atchison,19490920,19490920
CHN01,Kansas,Chanute,19370830,19380816
EMP01,Kansas,Emporia,Summers Field,19350427,19350427
JNC01,Kansas,Junction City,Rathert Field,19370902,19410602
KCK01,Kansas,Kansas City,Ward Field,19380802,19380802
MAN01,Kansas,Manhattan,Griffith Field,19370727,19390708
MYV01,Kansas,Marysville,Marysville Ball Park,19370831,19370831
PTK01,Kansas,Pittsburg,19460828,19490725
TOP01,Kansas,Topeka,Owl Park,19390512,19420715
WIC01,Kansas,Wichita,Lawrence Field,19350425,19490620,BGK01,Kentucky,Bowling Green,Dixie Park,19350508,19360711
COV02,Kentucky,Covington,Covington Park,19400810,19400810
FUL01,Kentucky,Fulton,Fairfield Kitty League Park,19390707,19390707
HOP01,Kentucky,Hopkinsville,19430624,19430624
LEX01,Kentucky,Lexington,Blue Grass Field,19480514,19490526
LOU03,Kentucky,Louisville,Eclipse Park II,18980415,18990802
LOU04,Kentucky,Louisville,Eclipse Park III,18990822,18990902
LOU05,Kentucky,Louisville,Parkway Field,19360710,19490704
OWE01,Kentucky,Owensboro,Miller Field,19400531,19410617,ALE01,Louisiana,Alexandria,19370427,19370427
BAT01,Louisiana,Baton Rouge,19370412,19490419
BOG01,Louisiana,Bogalusa,19420408,19420408
HML01,Louisiana,Hammond,19410410,19410410
HOU05,Louisiana,Houma,19400726,19400726
LKC01,Louisiana,Lake Charles,19410514,19410514
MNL01,Louisiana,Monroe,Casino Park,19370418,19490719
NOL01,Louisiana,New Orleans,Pelican Stadium,19350428,19490831
